date,airline,ch_code,num_code,dep_time,from,time_taken,stop,arr_time,to,price,class,ticket_id
01/03/2022,Air India,AI,505,10:25,Bangalore,11h 45m,1-stop,22:10,Mumbai,"6,158",economy,212
01/03/2022,Air India,AI,526,19:00,Kolkata,18h 50m,1-stop,13:50,Delhi,"43,910",business,459
01/03/2022,Air India,AI,505,10:25,Bangalore,02h 35m,non-stop ,13:00,Delhi,"32,923",business,318
01/03/2022,Air India,AI,507,6:30,Bangalore,16h 30m,1-stop,23:00,Delhi,"35,554",business,402
02/03/2022,Air India,AI,775,20:45,Kolkata,12h 10m,1-stop,8:55,Delhi,"57,939",business,472
02/03/2022,Air India,AI,526,19:00,Kolkata,23h 30m,1-stop,18:30,Delhi,"43,910",business,381
02/03/2022,Vistara,UK,876,21:35,Hyderabad,10h 30m,1-stop,8:05,Delhi,"39,555",business,342
02/03/2022,Vistara,UK,814,21:10,Bangalore,12h 35m,1-stop,9:45,Mumbai,"7,212",economy,96
02/03/2022,Air India,AI,501,13:20,Bangalore,08h 50m,1-stop,22:10,Mumbai,"6,578",economy,80
03/03/2022,Air India,AI,538,20:20,Chennai,16h 30m,1-stop,12:50,Mumbai,"49,553",business,369
03/03/2022,Vistara,UK,928,6:30,Mumbai,13h 45m,1-stop,20:15,Chennai,"57,453",business,416
03/03/2022,Vistara,UK,864,19:00,Bangalore,05h 55m,1-stop,0:55,Delhi,"42,521",business,407
03/03/2022,Vistara,UK,810,7:00,Bangalore,10h 40m,1-stop,17:40,Mumbai,"6,568",economy,237
03/03/2022,Air India,AI,503,17:50,Bangalore,24h 10m,1-stop,18:00,Mumbai,"6,158",economy,30
03/03/2022,GO FIRST,G8,805,8:15,Bangalore,15h 15m,1-stop,23:30,Mumbai,"4,807",economy,5
04/03/2022,Vistara,UK,816,11:30,Bangalore,11h 20m,1-stop,22:50,Mumbai,"6,568",economy,51
04/03/2022,GO FIRST,G8,116,7:20,Bangalore,09h 55m,1-stop,17:15,Mumbai,"6,389",economy,67
05/03/2022,Vistara,UK,816,11:30,Bangalore,12h 20m,1-stop,23:50,Mumbai,"6,568",economy,55
05/03/2022,Air India,AI,501,13:20,Bangalore,06h 40m,1-stop,20:00,Mumbai,"6,578",economy,77
05/03/2022,Vistara,UK,874,8:30,Hyderabad,09h 35m,1-stop,18:05,Delhi,"51,875",business,399
06/03/2022,Vistara,UK,876,21:35,Hyderabad,19h 20m,1-stop,16:55,Delhi,"72,774",business,264
06/03/2022,Air India,AI,9517,18:50,Bangalore,25h 10m,1-stop,20:00,Mumbai,"5,771",economy,201
06/03/2022,Vistara,UK,902,15:45,Mumbai,07h 00m,1-stop,22:45,Chennai,"61,933",business,377
07/03/2022,Air India,AI,505,10:25,Bangalore,11h 10m,1-stop,21:35,Mumbai,"6,158",economy,211
07/03/2022,Air India,AI,516,7:35,Bangalore,06h 15m,1-stop,13:50,Delhi,"35,554",business,337
07/03/2022,Air India,AI,526,19:00,Kolkata,18h 50m,1-stop,13:50,Delhi,"56,206",business,261
07/03/2022,Vistara,UK,846,8:30,Bangalore,06h 00m,1-stop,14:30,Delhi,"42,521",business,442
07/03/2022,Air India,AI,624,19:00,Delhi,02h 15m,non-stop ,21:15,Mumbai,"36,995",business,273
07/03/2022,Air India,AI,526,19:00,Kolkata,18h 50m,1-stop,13:50,Delhi,"43,910",business,440
08/03/2022,Indigo,6E,5399,12:40,Bangalore,01h 50m,1-stop,14:30,Mumbai,"2,309",economy,144
09/03/2022,Vistara,UK,832,6:55,Chennai,10h 45m,1-stop,17:40,Mumbai,"61,873",business,280
09/03/2022,GO FIRST,G8,116,7:20,Bangalore,13h 50m,1-stop,21:10,Mumbai,"6,389",economy,72
09/03/2022,Vistara,UK,814,21:10,Bangalore,14h 00m,1-stop,11:10,Mumbai,"6,568",economy,248
09/03/2022,Air India,AI,539,17:00,Chennai,16h 05m,1-stop,9:05,Mumbai,"49,553",business,418
09/03/2022,GO FIRST,G8,118,21:55,Bangalore,11h 15m,1-stop,9:10,Mumbai,"6,389",economy,69
09/03/2022,Vistara,UK,808,8:00,Bangalore,07h 00m,1-stop,15:00,Mumbai,"6,568",economy,228
09/03/2022,Air India,AI,765,20:45,Kolkata,23h 05m,1-stop,19:50,Delhi,"48,079",business,454
10/03/2022,Air India,AI,538,20:20,Chennai,21h 40m,1-stop,18:00,Mumbai,"56,943",business,258
10/03/2022,Vistara,UK,812,9:45,Bangalore,12h 15m,1-stop,22:00,Mumbai,"6,568",economy,242
10/03/2022,Air India,AI,516,7:35,Bangalore,14h 35m,1-stop,22:10,Mumbai,"5,761",economy,13
11/03/2022,Vistara,UK,810,7:00,Bangalore,12h 05m,1-stop,19:05,Mumbai,"6,568",economy,241
11/03/2022,Air India,AI,698,21:50,Hyderabad,22h 40m,1-stop,20:30,Delhi,"39,499",business,490
11/03/2022,Vistara,UK,850,19:55,Bangalore,05h 00m,1-stop,0:55,Delhi,"42,521",business,313
